French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
laisser,let
mettre,to put
laisse,leash
eux,them
ville,city
chaque,each
parlé,speak
arrivé,come
longtemps,long time
heures,hours
pendant,while
revoir,meet again
aucune,any
savais,knew
attention,Warning
affaire,case
leurs,their
donné,given
train,train
façon,way
écoute,listen
dont,whose
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
enfant,child
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
mis,placed
belle,beautiful
droit,law
aimerais,would like to
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
donne,given
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
bureau,office
